stoloc,wh_id,arecod,loccod,locsts,velzon,aisle_id,trvseq,sto_seq,rescod,bay,lvl,locpos,lochgt,loclen,locwid,dck_acc_cod,locvrc,maxqvl,curqvl,pndqvl,trfpct,erfpct,esc_type,esc_thr,useflg,stoflg,pckflg,repflg,asgflg,cipflg,cntseq,numcnt,abccod,cntdte,devcod,lokcod,locacc,voc_chkdgt,voc_chkdgt_2,voc_chkdgt_3,lstdte,lstcod,lst_usr_id,slotseq,perm_asgflg,cnt_zone_id,pck_zone_id,sto_zone_id,mov_zone_id,wrk_zone_id,loc_typ_id,of_lvl_unit,section,x,y,z,attr1,attr2,attr3,attr4,attr5,basepoint_id,top_left_x,top_left_y,top_right_x,top_right_y,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y,border_pad,auto_mov_flg,slot_id,def_maxqvl,u_version,ateseq,atedte,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,cntbck_ena_flg,prdlin,stgloc,rcv_rescod,pal_stck_rst,maxwgt,lvl_typ_id,billing_flg,prtadr,lbl_prtadr,min_lvl_unit,max_lvl_unit,bckfill_loc,bckfill_locvrc,bckfill_voc_chkdgt,bckfill_voc_chkdgt_2,bckfill_voc_chkdgt_3,bckfill_aisle
"D-101-14","7","D001","P","E","A","101","400100110","400100110","","","","14",999999.0,999999.0,999999.0,"","D-101-14",1.0,0.0,0.0,0,0,"",100.0,1,1,1,0,0,0,"",0,"","","","","ALL","","","","20200420151453","","","",0,0,10003,10001,10122,10006,10022,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",1.0,2,999,"","20200310143754","20200410154854","939161","938673",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
"D-101-15","7","D001","P","E","A","101","400100110","400100110","","","","15",999999.0,999999.0,999999.0,"","D-101-15",1.0,0.0,0.0,0,0,"",100.0,1,1,1,0,0,0,"",0,"","","","","ALL","","","","20200415083656","","","",0,0,10003,10001,10122,10006,10022,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",1.0,2,999,"","20200310143754","20200410154854","939161","938673",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
"D-101-16","7","D001","P","E","A","101","400100110","400100110","","","","16",999999.0,999999.0,999999.0,"","D-101-16",1.0,0.0,0.0,0,0,"",100.0,1,1,1,0,0,0,"",0,"","","","","ALL","","","","20200415121535","","","",0,0,10003,10001,10122,10006,10022,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",1.0,2,999,"","20200310143754","20200410154854","939161","938673",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
"D-101-17","7","D001","P","E","A","101","400100110","400100110","","","","17",999999.0,999999.0,999999.0,"","D-101-17",1.0,0.0,0.0,0,0,"",100.0,1,1,1,0,0,0,"",0,"","","","","ALL","","","","20200415083707","","","",0,0,10003,10001,10122,10006,10022,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",1.0,2,999,"","20200310143754","20200410154854","939161","938673",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
"D-101-18","7","D001","P","E","A","101","400100110","400100110","","","","18",999999.0,999999.0,999999.0,"","D-101-18",1.0,0.0,0.0,0,0,"",100.0,1,1,1,0,0,0,"",0,"","","","","ALL","","","","20200420101252","","","",0,0,10003,10001,10122,10006,10022,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",1.0,2,999,"","20200310143754","20200410154854","939161","938673",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
"D-101-19","7","D001","P","E","A","101","400100110","400100110","","","","19",999999.0,999999.0,999999.0,"","D-101-19",1.0,0.0,0.0,0,0,"",100.0,1,1,1,0,0,0,"",0,"","","","","ALL","","","","20200420101334","","","",0,0,10003,10001,10122,10006,10022,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",1.0,2,999,"","20200310143754","20200410154854","939161","938673",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
"D-101-20","7","D001","P","E","A","101","400100110","400100110","","","","20",999999.0,999999.0,999999.0,"","D-101-20",1.0,0.0,0.0,0,0,"",100.0,1,1,1,0,0,0,"",0,"","","","","ALL","","","","20200420101459","","","",0,0,10003,10001,10122,10006,10022,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",1.0,2,999,"","20200310143754","20200410154854","939161","938673",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
"D-101-21","7","D001","P","E","A","101","400100110","400100110","","","","21",999999.0,999999.0,999999.0,"","D-101-21",1.0,0.0,0.0,0,0,"",100.0,1,1,1,0,0,0,"",0,"","","","","ALL","","","","20200420101807","","","",0,0,10003,10001,10122,10006,10022,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",1.0,2,999,"","20200310143754","20200410154854","939161","938673",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
"D-101-22","7","D001","P","E","A","101","400100110","400100110","","","","22",999999.0,999999.0,999999.0,"","D-101-22",1.0,0.0,0.0,0,0,"",100.0,1,1,1,0,0,0,"",0,"","","","","ALL","","","","20200420101757","","","",0,0,10003,10001,10122,10006,10022,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",1.0,2,999,"","20200310143754","20200410154854","939161","938673",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
"D-102-01","7","D001","P","E","A","102","400100480","400100480","","","","01",999999.0,999999.0,999999.0,"","D-102-01",1.0,0.0,0.0,0,0,"",100.0,1,1,1,0,0,0,"",0,"","","","","ALL","","","","20200428150312","","","",0,0,10003,10001,10122,10006,10022,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",1.0,2,999,"","20200310143758","20200410154854","939161","938673",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
"D-102-02","7","D001","P","I","A","102","400100480","400100480","","","","02",999999.0,999999.0,999999.0,"","D-102-02",1.0,0.0,0.0,0,0,"",100.0,1,1,1,0,0,0,"",0,"","","","","ALL","","","","20210511150438","","","",0,0,10003,10001,10122,10006,10022,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",1.0,2,999,"","20200310143758","20200410154854","939161","938673",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
"D-102-03","7","D001","P","E","A","102","400100480","400100480","","","","03",999999.0,999999.0,999999.0,"","D-102-03",1.0,0.0,0.0,0,0,"",100.0,1,1,1,0,0,0,"",0,"","","","","ALL","","","","20200428150327","","","",0,0,10003,10001,10122,10006,10022,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",1.0,2,999,"","20200310143758","20200410154854","939161","938673",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
"D-102-04","7","D001","P","E","A","102","400100480","400100480","","","","04",999999.0,999999.0,999999.0,"","D-102-04",1.0,0.0,0.0,0,0,"",100.0,1,1,1,0,0,0,"",0,"","","","","ALL","","","","20200428150334","","","",0,0,10003,10001,10122,10006,10022,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",1.0,2,999,"","20200310143758","20200410154854","939161","938673",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
"D-102-05","7","D001","P","E","A","102","400100480","400100480","","","","05",999999.0,999999.0,999999.0,"","D-102-05",1.0,0.0,0.0,0,0,"",100.0,1,1,1,0,0,0,"",0,"","","","","ALL","","","","20200428150340","","","",0,0,10003,10001,10122,10006,10022,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",1.0,2,999,"","20200310143758","20200410154854","939161","938673",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
"D-102-06","7","D001","P","E","A","102","400100480","400100480","","","","06",999999.0,999999.0,999999.0,"","D-102-06",1.0,0.0,0.0,0,0,"",100.0,1,1,1,0,0,0,"",0,"","","","","ALL","","","","20200428150347","","","",0,0,10003,10001,10122,10006,10022,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",1.0,2,999,"","20200310143758","20200410154854","939161","938673",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
"D-102-07","7","D001","P","E","A","102","400100480","400100480","","","","07",999999.0,999999.0,999999.0,"","D-102-07",1.0,0.0,0.0,0,0,"",100.0,1,1,1,0,0,0,"",0,"","","","","ALL","","","","20200428150356","","","",0,0,10003,10001,10122,10006,10022,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",1.0,2,999,"","20200310143758","20200410154854","939161","938673",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
