rf_frm,cust_lvl,frm_cls,grp_nam,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"INV_ADJUST_DTL_DSP",0,"com.redprairie.wmd.formlogic.InvAdjustDtlDsp","dcs_data","","20210202173914","NOUSER","NOUSER"
"INV_ADJUST_IDENTIFY",0,"com.redprairie.wmd.formlogic.InvAdjustIdentify","dcs_data","","20210202173914","NOUSER","NOUSER"
"INV_ADJUST_REFRNC",0,"com.redprairie.wmd.formlogic.InvAdjustRefrnc","dcs_data","","20210202173914","NOUSER","NOUSER"
"INV_ADJUSTMENT_DSP",0,"com.redprairie.wmd.formlogic.InvAdjustmentDsp","dcs_data","","20210202173914","NOUSER","NOUSER"
"INV_ADJUSTMENT_DTL",0,"com.redprairie.wmd.formlogic.InvAdjustmentDtl","dcs_data","","20210202173914","NOUSER","NOUSER"
"INV_ADJUSTMENT_PLAY",0,"com.redprairie.wmd.formlogic.InvAdjustmentPlay","dcs_data","","20210202173914","NOUSER","NOUSER"
"INV_ADJUSTMENT_REF",0,"com.redprairie.wmd.formlogic.InvAdjustmentRef","dcs_data","","20210202173914","NOUSER","NOUSER"
"INV_ATTRIBUTE_CAPTURE",0,"com.redprairie.wmd.formlogic.InventoryAttributeCapture","dcs_data","","20210202173914","NOUSER","NOUSER"
"INV_DEPOSIT_LIST",0,"com.redprairie.wmd.formlogic.InvDepositList","dcs_data","","20210202173914","NOUSER","NOUSER"
"INV_SUMMARY_DSP",0,"com.redprairie.wmd.formlogic.InvSummaryDsp","dcs_data","","20210202173914","NOUSER","NOUSER"
"ITEM_DETAIL",0,"com.redprairie.wmd.formlogic.ItemDetail","dcs_data","","20210202173914","NOUSER","NOUSER"
"ITEM_SELECTION",0,"com.redprairie.mtf.formlogic.ItemSelection","mtf_data","","20210202171423","NOUSER","NOUSER"
"LABEL_IDENTIFIED",0,"com.redprairie.wmd.formlogic.LabelIdentified","dcs_data","","20210202173914","NOUSER","NOUSER"
"LABEL_LOAD",0,"com.redprairie.wmd.formlogic.LabelLoad","dcs_data","","20210202173914","NOUSER","NOUSER"
"LABEL_WRKREF",0,"com.redprairie.wmd.formlogic.LabelWrkref","dcs_data","","20210202173914","NOUSER","NOUSER"
"LABOR_PERFORMANCE",0,"com.redprairie.wmd.formlogic.LaborPerformance","dcs_data","","20210202173914","NOUSER","NOUSER"
"LIST_SERIAL_NUMBERS_SCANNED",0,"com.redprairie.wmd.formlogic.ListSerialNumbersScanned","dcs_data","","20210202173914","NOUSER","NOUSER"
"LMS_SET_INDIRECT",0,"com.redprairie.wmd.formlogic.LmsSetIndirect","dcs_data","","20210202173914","NOUSER","NOUSER"
"LOAD_ASSET_ADJUST",0,"com.redprairie.wmd.formlogic.LoadAssetAdjust","dcs_data","","20210202173914","NOUSER","NOUSER"
"LOAD_ASSET_ADJUST_DSP",0,"com.redprairie.wmd.formlogic.LoadAssetAdjustDisplay","dcs_data","","20210202173914","NOUSER","NOUSER"
"LOAD_LTL_TRLR",0,"com.redprairie.wmd.formlogic.LoadLtlTrlrPck","dcs_data","","20210202173914","NOUSER","NOUSER"
"LOAD_LTL_TRLR_DEPOSIT",0,"com.redprairie.wmd.formlogic.LoadLtlTrlrDps","dcs_data","","20210202173914","NOUSER","NOUSER"
"LOAD_PICKUP",0,"com.redprairie.wmd.formlogic.LoadPickup","dcs_data","","20210202173914","NOUSER","NOUSER"
"LOAD_PREPARATION",0,"com.redprairie.wmd.formlogic.LoadPreparation","dcs_data","","20210202173914","NOUSER","NOUSER"
"LOAD_SPLIT_DISPLAY",0,"com.redprairie.wmd.formlogic.LoadSplitDisplay","dcs_data","","20210202173914","NOUSER","NOUSER"
"LOAD_SPLIT_DTL_DISPLAY",0,"com.redprairie.wmd.formlogic.LoadSplitDtlDisplay","dcs_data","","20210202173914","NOUSER","NOUSER"
"LOAD_TRLR",0,"com.redprairie.wmd.formlogic.LoadTrlrPck","dcs_data","","20210202173914","NOUSER","NOUSER"
"LOAD_TRLR_DEPOSIT",0,"com.redprairie.wmd.formlogic.LoadTrlrDps","dcs_data","","20210202173914","NOUSER","NOUSER"
"LOCATION_DISPLAY",0,"com.redprairie.wmd.formlogic.LocationDisplay","dcs_data","","20210202173914","NOUSER","NOUSER"
"LOGGEDOUT_FORM",0,"com.redprairie.wmd.formlogic.LoggedoutForm","dcs_data","","20210202173914","NOUSER","NOUSER"
"LOGIN_FORM",0,"com.redprairie.wmd.formlogic.LoginForm","dcs_data","","20210202173914","NOUSER","NOUSER"
"LOGIN_WORK_INFO",0,"com.redprairie.wmd.formlogic.LoginWorkInfo","dcs_data","","20210202173914","NOUSER","NOUSER"
"LOGOUT_FORM",0,"com.redprairie.wmd.formlogic.LogoutForm","dcs_data","","20210202173914","NOUSER","NOUSER"
"LOOK_WORK",0,"com.redprairie.wmd.formlogic.LookWork","dcs_data","","20210202173914","NOUSER","NOUSER"
"LOOKUP_FORM",0,"com.redprairie.mtf.formlogic.LookupForm","mtf_data","","20210202171423","NOUSER","NOUSER"
"LPN_CAP",0,"com.redprairie.wmd.formlogic.LpnCapture","dcs_data","","20210202173914","NOUSER","NOUSER"
"LPN_COUNT",0,"com.redprairie.wmd.formlogic.LPNCount","dcs_data","","20210202173914","NOUSER","NOUSER"
"MANUAL_OUTBOUND_AUD",0,"com.redprairie.wmd.formlogic.ManualOutboundAudit","dcs_data","","20210202173914","NOUSER","NOUSER"
"MANUAL_REPLEN",0,"com.redprairie.wmd.formlogic.ManualReplen","dcs_data","","20210202173914","NOUSER","NOUSER"
"MASTER_LIST_INFO",0,"com.redprairie.wmd.formlogic.MasterListInfo","dcs_data","","20210202173914","NOUSER","NOUSER"
"MENU_INIT",0,"com.redprairie.wmd.formlogic.MenuInit","dcs_data","","20210202173914","NOUSER","NOUSER"
"MNT_INVENTORY",0,"com.redprairie.wmd.formlogic.MntInventory","dcs_data","","20210202173914","NOUSER","NOUSER"
"MNT_INVSERVICE",0,"com.redprairie.wmd.formlogic.MntInvservice","dcs_data","","20210202173914","NOUSER","NOUSER"
"MNT_LOCATION",0,"com.redprairie.wmd.formlogic.MntLocation","dcs_data","","20210202173914","NOUSER","NOUSER"
"MNT_PART",0,"com.redprairie.wmd.formlogic.MntPart","dcs_data","","20210202173914","NOUSER","NOUSER"
"MOVE_MSTR_RCPT",0,"com.redprairie.wmd.formlogic.MoveMstrRcpt","dcs_data","","20210202173914","NOUSER","NOUSER"
"ORD_DTLS_DSP",0,"com.redprairie.wmd.formlogic.OrdDtlsDsp","dcs_data","","20210202173914","NOUSER","NOUSER"
"ORD_NOTES_DSP",0,"com.redprairie.wmd.formlogic.OrdNotesDsp","dcs_data","","20210202173914","NOUSER","NOUSER"
"OUTBOUND_AUD",0,"com.redprairie.wmd.formlogic.OutboundAudit","dcs_data","","20210202173914","NOUSER","NOUSER"
"OUTBOUND_AUD_DTL",0,"com.redprairie.wmd.formlogic.OutboundAuditDetail","dcs_data","","20210202173914","NOUSER","NOUSER"
"OVERRIDE_PAL",0,"com.redprairie.wmd.formlogic.OverridePal","dcs_data","","20210202173914","NOUSER","NOUSER"
"PALBLD",0,"com.redprairie.wmd.formlogic.Palbld","dcs_data","","20210202173914","NOUSER","NOUSER"
"PALBLD_COMPLETE",0,"com.redprairie.wmd.formlogic.PalletBldComplete","dcs_data","","20210202173914","NOUSER","NOUSER"
"PALBLD_DEP",0,"com.redprairie.wmd.formlogic.PalbldDep","dcs_data","","20210202173914","NOUSER","NOUSER"
"PALBLD_ENT",0,"com.redprairie.wmd.formlogic.PalbldEnt","dcs_data","","20210202173914","NOUSER","NOUSER"
"PALLET_POSITION_DISPLAY",0,"com.redprairie.wmd.formlogic.PalletPositionDisplay","dcs_data","","20210202173914","NOUSER","NOUSER"
"PICK_LIST_DISPLAY",0,"com.redprairie.wmd.formlogic.PickListDisplay","dcs_data","","20210202173914","NOUSER","NOUSER"
"PICKUP_A",0,"com.redprairie.wmd.formlogic.PickupA","dcs_data","","20210202173914","NOUSER","NOUSER"
"PICKUP_A",10,"com.redprairie.les.formlogic.UsrPickupA","usr_data","20200127152405","20200127152405","940409","940409"
