pcklst_select_cri_id,pcklst_rule_id,seqnum,log_opr,table_nam,field_name,operator,value,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,is_purged
339,21,1,"","pck_zone","pck_zone_cod","=","H244-P-01","20230609112245","20230609112245","938673","938673",0
340,21,2,"AND","","","","","20230609112245","20230609112245","938673","938673",0
341,21,3,"","pcklst","pcklst_rule_id","=","15","20230609112245","20230609112245","938673","938673",0
342,21,4,"AND","","","","","20230609112245","20230609112245","938673","938673",0
343,21,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_2S_H244_ZONE","20230609112245","20230609112245","938673","938673",0
344,23,1,"","pck_zone","pck_zone_cod","=","H245-P-01","20230609112313","20230609112313","938673","938673",0
345,23,2,"AND","","","","","20230609112313","20230609112313","938673","938673",0
346,23,3,"","pcklst","pcklst_rule_id","=","17","20230609112313","20230609112313","938673","938673",0
347,23,4,"AND","","","","","20230609112313","20230609112313","938673","938673",0
348,23,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_2S_H245_ZONE","20230609112313","20230609112313","938673","938673",0
349,11,1,"","pck_zone","pck_zone_cod","=","H245-P-01","20230609112548","20230609112548","938673","938673",0
350,11,2,"AND","","","","","20230609112548","20230609112548","938673","938673",0
351,11,3,"","pcklst","pcklst_rule_id","=","10","20230609112548","20230609112548","938673","938673",0
352,11,4,"AND","","","","","20230609112548","20230609112548","938673","938673",0
353,11,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_1S_H245_ZONE","20230609112548","20230609112548","938673","938673",0
354,8,1,"","pck_zone","pck_zone_cod","=","H244-P-01","20230609112929","20230609112929","938673","938673",0
355,8,2,"AND","","","","","20230609112929","20230609112929","938673","938673",0
356,8,3,"","pcklst","pcklst_rule_id","=","7","20230609112929","20230609112929","938673","938673",0
357,8,4,"AND","","","","","20230609112929","20230609112929","938673","938673",0
358,8,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_1S_H244_ZONE","20230609112929","20230609112929","938673","938673",0
359,33,1,"","pck_zone","pck_zone_cod","=","H135-P-02","20230609113130","20230609113130","938673","938673",0
360,33,2,"AND","","","","","20230609113130","20230609113130","938673","938673",0
361,33,3,"","pcklst","pcklst_rule_id","=","29","20230609113130","20230609113130","938673","938673",0
362,33,4,"AND","","","","","20230609113130","20230609113130","938673","938673",0
363,33,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_1S_H135-02_ZONE","20230609113130","20230609113130","938673","938673",0
364,2,1,"","pck_zone","pck_zone_cod","=","H135-P-01","20230609113224","20230609113224","938673","938673",0
365,2,2,"AND","","","","","20230609113224","20230609113224","938673","938673",0
366,2,3,"","pcklst","pcklst_rule_id","=","3","20230609113224","20230609113224","938673","938673",0
367,2,4,"AND","","","","","20230609113224","20230609113224","938673","938673",0
368,2,5,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_1S_H135-01_ZONE","20230609113224","20230609113224","938673","938673",0
369,27,1,"","pck_zone","pck_zone_cod","=","H245-P-01","20230609113333","20230609113333","938673","938673",0
370,27,2,"AND","","","","","20230609113333","20230609113333","938673","938673",0
371,27,3,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_0S_H245_ZONE","20230609113333","20230609113333","938673","938673",0
372,26,1,"","pck_zone","pck_zone_cod","=","H244-P-01","20230609113406","20230609113406","938673","938673",0
373,26,2,"AND","","","","","20230609113407","20230609113407","938673","938673",0
374,26,3,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_0S_H244_ZONE","20230609113407","20230609113407","938673","938673",0
375,32,1,"","pck_zone","pck_zone_cod","=","H135-P-02","20230609113436","20230609113436","938673","938673",0
376,32,2,"AND","","","","","20230609113436","20230609113436","938673","938673",0
377,32,3,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_0S_H135-02_ZONE","20230609113436","20230609113436","938673","938673",0
378,25,1,"","pck_zone","pck_zone_cod","=","H135-P-01","20230609113500","20230609113500","938673","938673",0
379,25,2,"AND","","","","","20230609113501","20230609113501","938673","938673",0
380,25,3,"","pcklst_rule","pcklst_rule_name","=","TROLLEY_0S_H135-01_ZONE","20230609113501","20230609113501","938673","938673",0
381,17,1,"","pck_zone","pck_zone_cod","=","H245-P-01","20230609113541","20230609113541","938673","938673",0
382,17,2,"AND","","","","","20230609113541","20230609113541","938673","938673",0
383,17,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_80CM_H245_ZONE","20230609113541","20230609113541","938673","938673",0
384,15,1,"","pck_zone","pck_zone_cod","=","H244-P-01","20230609113626","20230609113626","938673","938673",0
385,15,2,"AND","","","","","20230609113626","20230609113626","938673","938673",0
386,15,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_80CM_H244_ZONE","20230609113626","20230609113626","938673","938673",0
387,30,1,"","pck_zone","pck_zone_cod","=","H135-P-02","20230609113700","20230609113700","938673","938673",0
388,30,2,"AND","","","","","20230609113700","20230609113700","938673","938673",0
