var_nam,appl_id,frm_id,addon_id,cust_lvl,ena_flg,const_flg,def_typ,char_val,int_val,flt_val,dt_val,def_cmd,grp_nam
"aremoverestpol","LES","ModArePolMstWiz","LES",0,1,1,"","",0,0,"","","dcs_data"
"aremovetranidpol","LES","ModArePolMstWiz","LES",0,1,1,"","",0,0,"","","dcs_data"
"arenextmovepol","LES","ModArePolMstWiz","LES",0,1,1,"","",0,0,"","","dcs_data"
"arerectruckpol","LES","ModArePolMstWiz","LES",0,1,1,"","",0,0,"","","dcs_data"
"arereleaserulepol","LES","ModArePolMstWiz","LES",0,1,1,"","",0,0,"","","dcs_data"
"asg_lmt_flg","LES","LES","LES",0,1,0,"","",0,0,"","","mcs_data"
"asgflg","LES","locmstattrwiz","LES",0,1,0,"","",0,0,"","","dcs_data"
"asgflg","LES","locmstmnt","LES",0,1,0,"","",0,0,"","","dcs_data"
"asgflg","LES","locmstovr","LES",0,1,0,"","",0,0,"","","dcs_data"
"asgprtnum","LES","locmstmnt","LES",0,0,0,"","",0,0,"","","dcs_data"
"asset_flg","LES","whcopy","LES",0,1,1,"","",1,0,"","","mcs_data"
"asset_stat","LES","assetidentify","LES",0,1,0,"","ACT",0,0,"","","dcs_data"
"asset_stat","LES","nonserassetadjopr","LES",0,1,0,"","ACT",0,0,"","","dcs_data"
"ateseq","LES","locmstmnt","LES",0,1,0,"","",0,0,"","","dcs_data"
"atoflg","LES","ordlinmnt","LES",0,1,0,"","",0,0,"","","dcs_data"
"atoflg","LES","ordmnt","LES",0,1,0,"","",0,0,"","","dcs_data"
"attr_dte1flg","LES","prtmstmnt","LES",0,1,0,"","",0,0,"","","sal_data"
"attr_dte2flg","LES","prtmstmnt","LES",0,1,0,"","",0,0,"","","sal_data"
"attr_flt1flg","LES","prtmstmnt","LES",0,1,0,"","",0,0,"","","sal_data"
"attr_flt2flg","LES","prtmstmnt","LES",0,1,0,"","",0,0,"","","sal_data"
"attr_flt3flg","LES","prtmstmnt","LES",0,1,0,"","",0,0,"","","sal_data"
"attr_int1flg","LES","prtmstmnt","LES",0,1,0,"","",0,0,"","","sal_data"
"attr_int2flg","LES","prtmstmnt","LES",0,1,0,"","",0,0,"","","sal_data"
"attr_int3flg","LES","prtmstmnt","LES",0,1,0,"","",0,0,"","","sal_data"
"attr_int4flg","LES","prtmstmnt","LES",0,1,0,"","",0,0,"","","sal_data"
