actcod,actcod_typ,voc_cod,lms_flg,worktype_id,indflg,asgn_typ,disc_proc_id,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,rollup_uom
"RETORD_CLOSE","ORD",0,0,"",0,"","","","","","",""
"RFDREAD","RF",0,0,"",0,"","","","","","",""
"RFDTAGAPP","RF",0,0,"",0,"","","","","","",""
"RFDTAGGEN","RF",0,0,"",0,"","","","","","",""
"RFOUTAUD","WORK",0,0,"",0,"","","","","","",""
"RM_ITM_LOT","WORK",0,0,"",0,"","","","","","",""
"ROLLPKG","GEN",0,0,"",0,"","","","","","",""
"RUPRT","GEN",0,0,"",0,"","","","","","",""
"RVAST","WORK",0,1,"RVAST",0,"O","","","","","",""
"RVRCP","WORK",0,1,"RVRCP",0,"O","","","","","",""
"RVSSERV","WORK",0,1,"RVSSERV",0,"O","","","","","",""
"SAFETY-CHK-DEFERRED","WORK",0,1,"SAFETY-CHK-DEF",0,"O","SAFETY-CHK-DEFERRED","","","","",""
"SAFETY-CHK-IMMEDIATE","WORK",0,1,"SAFETY-CHK-IMDE",0,"O","SAFETY-CHK-IMMEDIATE","","","","",""
"SALC","ORD",0,0,"",0,"","","","","","",""
"SASGCAR","ORD",0,0,"",0,"","","","","","",""
"SASGSTP","ORD",0,0,"",0,"","","","","","",""
"SASGWAV","ORD",0,0,"",0,"","","","","","",""
"SCAN","ORD",0,0,"",0,"","","","","","",""
"SCHG","ORD",0,0,"",0,"","","","","","",""
"SCMPL","ORD",0,0,"",0,"","","","","","",""
"SDEL","ORD",0,0,"",0,"","","","","","",""
"SDSGSTP","ORD",0,0,"",0,"","","","","","",""
"SDSGWAV","ORD",0,0,"",0,"","","","","","",""
"SER_XFR","GEN",0,0,"",0,"","","","","","",""
"SERNUMCAP","WORK",0,1,"SERNUMCAP",0,"O","SERNUMCAP","","","","",""
"SERV","WORK",0,1,"SERV",0,"O","","","","","",""
"SET-AXLE-POSITIONS","WORK",0,1,"SET-AXLE-POS",0,"O","SET-AXLE-POSITIONS","","","","",""
"SHIPADJST","WORK",0,0,"",0,"","","","","","",""
"SHIPADJUST","WORK",0,0,"",0,"","","","","","",""
"SHIPLOAD","WORK",0,1,"SHIPLOAD",0,"P","","","","","",""
"SHRINK-WRAP","WORK",0,1,"SHRINK-WRAP",0,"O","SHRINK-WRAP","","","","",""
