var_nam,appl_id,frm_id,addon_id,cust_lvl,lkp_id,ena_flg,cod_col,desc_col,add_null_flg,dis_sgl_flg,edt_flg,srt_col,grd_lkp_cols,grp_nam
"evt_id","LES","rifdsegmnt","SEAMLES",0,"l_evt_id",0,"evt_id","evt_id",0,0,0,"","","int_data"
"evt_id","LES","WCSEVTMNT","LES",0,"l_wcs_evt",1,"evt_id","evt_id",1,0,0,"","","dcs_data"
"evt_id","LES","WCSINTMNT","LES",0,"l_wcs_evt",1,"evt_id","evt_id",1,0,0,"","","dcs_data"
"evt_id","LES","WCSMOVINVMNT","LES",0,"l_wcs_evt",1,"evt_id","evt_id",1,0,0,"","","dcs_data"
"evt_nam","LES","LES","LES",0,"l_evt_nam",1,"evt_nam","evt_nam",1,0,0,"","","ems_data"
"evt_stat_cd","LES","ctldwnldviewer","SEAMLES",0,"l_evt_stat_cd",0,"vp_val","vp_val",1,0,0,"","","int_data"
"evt_stat_cd","LES","ctlevtifdeditor","SEAMLES",0,"l_evt_stat_cd",1,"vp_val","vp_rep",0,0,0,"","","int_data"
"evt_stat_cd","LES","ctlevtlog","SEAMLES",0,"l_evt_stat_cd",0,"vp_val","vp_rep",1,0,0,"","","int_data"
"evt_stat_cd","LES","ctlevtquery","SEAMLES",0,"l_evt_stat_cd",0,"vp_val","vp_val",1,0,0,"","","int_data"
"evt_stat_cd","LES","ctloutifd","SEAMLES",0,"l_evt_stat_cd",1,"vp_val","vp_val",0,0,0,"","","int_data"
"evt_stat_cd","LES","dlgCreateIFDResult","SEAMLES",0,"l_evt_stat_cd",0,"vp_val","vp_rep",1,0,0,"","","int_data"
"evt_stat_cd","LES","evtseqinfo","SEAMLES",0,"l_evt_stat_cd",0,"vp_val","vp_rep",0,0,0,"","","int_data"
"evt_stat_cd","LES","LES","SEAMLES",0,"l_evt_stat_cd",1,"vp_val","vp_rep",1,0,0,"","","int_data"
"evt_sts","LES","LES","LES",0,"l_evt_sts",1,"codval","lngdsc",1,0,0,"","","ems_data"
"evt_typ","LES","LES","LES",0,"l_evt_typ",1,"code","name",0,0,0,"","","dcs_data"
"evtcod","LES","LES","LES",0,"l_evtcod",1,"codval","lngdsc",1,0,0,"","","dcs_data"
"excp_code","LES","distroexcpopr","LES",0,"l_excp_code",1,"codval","lngdsc",1,0,0,"","","dcs_data"
"excp_code","LES","LES","LES",0,"l_excp_code",1,"codval","lngdsc",1,0,0,"","","dcs_data"
"exitpnt","LES","compcfgmnt","LES",0,"l_distinct_exitpnt",1,"exitpnt","lngdsc",1,0,0,"","","dcs_data"
"exitpnt","LES","complblprtopr","LES",0,"l_distinct_exitpnt",1,"exitpnt","lngdsc",1,0,0,"","","sal_data"
"exitpnt","LES","inbservopr","LES",0,"l_exitpnt_for_inv",1,"exitpnt","exitpnt_lngdsc",1,0,0,"","","dcs_data"
"exitpnt","LES","LES","LES",0,"l_exitpnt",1,"exitpnt","lngdsc",1,0,0,"","","dcs_data"
