var_nam,appl_id,frm_id,addon_id,cust_lvl,vis_flg,ena_flg,fld_typ,ctrl_typ,ctxt_flg,dsp_wid,dsp_hgt,ctrl_prop,grp_nam
"asset_slot","LES","sphandopr","LES",0,1,1,"","",1,0,0,"","dcs_data"
"asset_stat","LES","LES","LES",0,1,1,"C","",1,0,0,"","dcs_data"
"asset_stat","LES","rvsrcpopr","LES",0,1,0,"","",1,0,0,"","dcs_data"
"asset_tag","LES","dispatchtrlr","LES",0,0,0,"","",1,0,0,"","dcs_data"
"asset_tag","LES","LES","LES",0,1,1,"","",1,0,0,"","dcs_data"
"asset_tag","LES","movtrlropr","LES",0,1,0,"","",1,0,0,"","dcs_data"
"asset_typ","LES","dispatchtrlr","LES",0,0,0,"","",1,0,0,"","dcs_data"
"asset_typ","LES","LES","LES",0,1,1,"","",1,0,0,"","dcs_data"
"asset_typ","LES","movtrlropr","LES",0,1,0,"","",1,0,0,"","dcs_data"
"asset_typ","LES","rvsrcpopr","LES",0,1,0,"","",1,0,0,"","dcs_data"
"asset_typ","LES","WMD-PCKLSTASSETCHNG","LES",0,1,0,"","",1,0,0,"","dcs_data"
"asset_wgt","LES","LES","LES",0,1,1,"UOM_W","",1,0,0,"","dcs_data"
"asset_wid","LES","LES","LES",0,1,1,"UOM_SL","",1,0,0,"","dcs_data"
"assign_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"assign_grp","LES","LES","LES",0,1,1,"","",1,0,0,"","dcs_data"
"assigned","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"assigned_prtnum","LES","assloccontincprtall","LES",0,1,1,"DISPLAY_ITEM","",1,170,0,"LES_CMD=dspitem_cfg_asgLoc","dcs_data"
"assigned_prtnum","LES","assloccontincprtrpl","LES",0,1,1,"DISPLAY_ITEM","",1,170,0,"LES_CMD=dspitem_cfg_asgLoc","dcs_data"
"atecod","LES","LES","LES",0,1,1,"C","",1,0,0,"","dcs_data"
"atedte","LES","LES","LES",0,1,0,"D","",1,0,0,"","dcs_data"
"ateseq","LES","LES","LES",0,1,1,"","",1,0,0,"","dcs_data"
"ath_id","AthMnt","AthFrm","LES",0,0,0,"","",0,0,0,"","sal_data"
"atoflg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"att_sts","LES","LES","LES",0,1,1,"C","",1,0,0,"","ems_data"
"attn_cod","LES","LES","WM",0,0,0,"","",0,0,0,"","wm_data"
"attn_name","LES","LES","LES",0,1,1,"","",1,0,0,"","sal_data"
"attn_tel","LES","LES","LES",0,1,1,"","",1,0,0,"","sal_data"
"attr_dte1","LES","LES","LES",0,0,0,"C","",1,0,0,"","sal_data"
"attr_dte1","LES","LES","LES",10,1,1,"C","",1,0,0,"","sal_data"
"attr_dte1_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"attr_dte2","LES","LES","LES",0,0,0,"C","",1,0,0,"","sal_data"
"attr_dte2_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"attr_flt1","LES","LES","LES",0,0,0,"C","",1,0,0,"","sal_data"
"attr_flt1_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
