dyn_cfg_id,appl_id,frm_id,addon_id,cust_lvl,inp_mod,var_nam_lst,les_cmd_id,moddte,mod_usr_id,grp_nam
"lodnum_barcode_parsing","dcsrdt","LES","LES",0,"A","lodnum","dummy_parse_bar_code","","","dcs_data"
"lodnum_barcode_parsing","LES","LES","LES",0,"A","lodnum","lodnum_barcode_cmd","","","dcs_data"
"lodnum_barcode_parsing","rcvtrkopr","identify","LES",0,"A","lodnum","rcvtrkopr_identify_lodnum_barcode_cmd","","","dcs_data"
"loducc_barcode_parsing","dcsrdt","LES","LES",0,"A","loducc","dummy_parse_bar_code","","","dcs_data"
"loducc_barcode_parsing","LES","LES","LES",0,"A","loducc","loducc_barcode_cmd","","","dcs_data"
"module_typ","RPWEB","WEBDASHMNT","LES",0,"E","module_typ","cmd_module_typ","","","sal_data"
"module_width","LES","WEBDASHMNT","LES",0,"E","module_width","disable_module_width","","","sal_data"
"module_width","RPWEB","WEBDASHMNT","LES",0,"E","module_width","noop","","","sal_data"
"onchange_cnzflg","LES","prtmstmnt","LES",0,"A","cnzflg","onchange_cnzflg","","","dcs_data"
"onchange_cnzflg","LES","prtmstovrdmnt","LES",0,"A","cnzflg","onchange_cnzflg_prtmstovrdmnt","","","dcs_data"
"onchange_dtcflg","LES","prtmstmnt","LES",0,"A","dte_code","onchange_dtcflg","","","dcs_data"
"onchange_dtcflg","LES","prtmstovrdmnt","LES",0,"A","dte_code","onchange_dtcflg_prtmstovrdmnt","","","dcs_data"
"ordmnt_prt_desc","LES","ordmnt","LES",0,"A","prtnum,prt_desc","ordmnt_prt_desc_field","","","dcs_data"
"ordnum_cfg","LES","ItemVelDspFrm","LES",0,"I","velocity_type","disable_ordnum_field","","","sal_data"
"ordnum_cfg","LES","ItemVelFrm","LES",0,"I","velocity_type","disable_ordnum_field","","","sal_data"
"perm_lod_flds","LES","whcopy","LES",0,"N","wh_id","default_perm_lod_fields","","","dcs_data"
"perm_lod_flds","LES","whmnt","LES",0,"N","wh_id","default_perm_lod_fields","","","dcs_data"
"pool_flg","LES","SalAddressMnt","LES",0,"A","pool_flg","cmd_pool_flg","","","sal_data"
"prtmst_shrfld_def_cfg","prtmstdfltmnt","prtmstmnt","WM",0,"I","prtnum","prtmst_shrfld_def_cfg","","","dcs_data"
"prtmst_shrfld_ovr_cfg","prtmstovrdmnt","prtmstovrdmnt","WM",0,"E","prtnum","prtmst_shrfld_ovr_cfg","","","dcs_data"
"prtmst_shrfld_reset","LES","prtmstmnt","WM",0,"C","prtnum","prtmst_shrfld_reset_cfg","","","dcs_data"
"prtmst_shrfld_reset","LES","prtmstovrdmnt","WM",0,"C","prtnum","prtmst_shrfld_reset_cfg","","","dcs_data"
"prtmst_shrfld_reset_new","LES","prtmstovrdmnt","WM",0,"N","prtnum","prtmst_shrfld_def_cfg","","","dcs_data"
"rf_cycle_count_catch_qty","dcsrdt","CYCLE_COUNT","LES",0,"A","prtnum,prt_client_id","rf_cycle_count_catch_qty_dvc","","","dcs_data"
"rifdmnt_eo_desc","LES","rifdmnt","SEAMLES",0,"A","eo_id,eo_ver","rifdmnt_eo_desc","","","int_data"
"rifdmnt_sync_mode","LES","rifdmnt","SEAMLES",0,"A","comm_mode_cd","rifdmnt_sync_mode","","","int_data"
"rifdsegmnt_ifd_fld_len","rifdsegmnt","rifdsegmnt","SEAMLES",0,"A","ifd_fld_len","clear_ifd_fld_len","","","int_data"
"rifdsegmnt_ifd_fld_max_chars","rifdsegmnt","rifdsegmnt","SEAMLES",0,"A","ifd_fld_max_chars","clear_ifd_fld_max_chars","","","int_data"
"rifdsegmnt_ifd_fld_sql_ordr","rifdsegmnt","rifdsegmnt","SEAMLES",0,"A","ifd_fld_sql_ordr","clear_ifd_fld_sql_ordr","","","int_data"
"rimlinmnt_fields","LES","rimlinmnt","LES",0,"A","wh_id,prtnum,prt_client_id","rimlinmnt_cmd","","","dcs_data"
