colnam,colval,locale_id,cust_lvl,mls_text,short_dsc,grp_nam
"dda_id","CSTMSORDTYPMNT-CREATE","DUTCH_HOLLAND",0,"Onderhoud ordertype douane maken","","dcs_data"
"dda_id","CSTMSORDTYPMNT-CREATE","US_ENGLISH",0,"Create Customs Order Type Maintenance","","dcs_data"
"dda_id","CSTMSORDTYPMNT-REMOVE","DUTCH_HOLLAND",0,"Onderhoud ordertype douane verwijderen","","dcs_data"
"dda_id","CSTMSORDTYPMNT-REMOVE","US_ENGLISH",0,"Remove Customs Order Type Maintenance","","dcs_data"
"dda_id","CTN-AREA-CFG-ISSUES","DUTCH_HOLLAND",0,"Configuratieproblemen kartonnagegebied","","dcs_data"
"dda_id","CTN-AREA-CFG-ISSUES","US_ENGLISH",0,"Cartonization Area Configuration Issues","","dcs_data"
"dda_id","CTNDTLRPKMNT","DUTCH_HOLLAND",0,"Onderhoud herverpakking kartonverpakking","","dcs_data"
"dda_id","CTNDTLRPKMNT","US_ENGLISH",0,"Carton Repack Maintenance","","dcs_data"
"dda_id","CTNDTLRPKMNT-CREATE","DUTCH_HOLLAND",0,"Herverpakkingsklasse kartonverpakkingen maken","","dcs_data"
"dda_id","CTNDTLRPKMNT-CREATE","US_ENGLISH",0,"Create Carton Repack Class","","dcs_data"
"dda_id","CTNDTLRPKMNT-REMOVE","DUTCH_HOLLAND",0,"Herverpakkingsklasse kartonverpakkingen verwijderen","","dcs_data"
"dda_id","CTNDTLRPKMNT-REMOVE","US_ENGLISH",0,"Remove Carton Repack Class","","dcs_data"
"dda_id","CTXTMNUMNT","DUTCH_HOLLAND",0,"Onderhoud contextmenu","","mcs_data"
"dda_id","CTXTMNUMNT","US_ENGLISH",0,"Context Menu Maintenance","","mcs_data"
"dda_id","CTXTMNUMNT-CHANGE","DUTCH_HOLLAND",0,"Item contextmenu wijzigen","","mcs_data"
"dda_id","CTXTMNUMNT-CHANGE","US_ENGLISH",0,"Change Context Menu Item","","mcs_data"
"dda_id","CTXTMNUMNT-CREATE","DUTCH_HOLLAND",0,"Item contextmenu maken","","mcs_data"
"dda_id","CTXTMNUMNT-CREATE","US_ENGLISH",0,"Create Context Menu Item","","mcs_data"
"dda_id","CTXTMNUMNT-REMOVE","DUTCH_HOLLAND",0,"Item contextmenu verwijderen","","mcs_data"
"dda_id","CTXTMNUMNT-REMOVE","US_ENGLISH",0,"Remove Context Menu Item","","mcs_data"
"dda_id","CtyPszChange","DUTCH_HOLLAND",0,"Postcode wijzigen","","sal_data"
"dda_id","CtyPszChange","US_ENGLISH",0,"City Postal Code Change","","sal_data"
"dda_id","CtyPszCreate","DUTCH_HOLLAND",0,"Postcode maken","","sal_data"
"dda_id","CtyPszCreate","US_ENGLISH",0,"City Postal Code Create","","sal_data"
"dda_id","CtyPszMnt","DUTCH_HOLLAND",0,"Onderhoud postcode","","sal_data"
"dda_id","CtyPszMnt","US_ENGLISH",0,"City Postal Code Maintenance","","sal_data"
"dda_id","CtyPszRemove","DUTCH_HOLLAND",0,"Postcode verwijderen","","sal_data"
"dda_id","CtyPszRemove","US_ENGLISH",0,"City Postal Code Remove","","sal_data"
"dda_id","CUST_QUE_BT","DUTCH_HOLLAND",0,"Klantweergave","","dcs_service"
"dda_id","CUST_QUE_BT","US_ENGLISH",0,"Customer Display","","dcs_service"
"dda_id","CUST_QUE_DEF","DUTCH_HOLLAND",0,"Klantweergave","","dcs_service"
"dda_id","CUST_QUE_DEF","US_ENGLISH",0,"Customer Display","","dcs_service"
"dda_id","CUST_QUE_RT","DUTCH_HOLLAND",0,"Klantweergave","","dcs_service"
"dda_id","CUST_QUE_RT","US_ENGLISH",0,"Customer Display","","dcs_service"
