var_nam,appl_id,frm_id,addon_id,srt_seq,cust_lvl,lkp_id,ena_flg,ret_fld,inp_fld,mult_flg,grp_nam
"mod_usr_id","LES","LES","LES",0,0,"l_mod_usr_id",1,"mod_usr_id=usr_id","",1,"dcs_data"
"mov_zone_cod","dcsrdt","TOPOFF_REPLEN","LES",0,0,"r_mov_zn_cd_topoff",1,"","",1,"dcs_rdt"
"mu_fld_nam","LES","LES","LES",0,0,"l_mu_fld_nam",1,"mu_fld_nam=fld_name","fld_name",1,"sal_data"
"netwgt_mu","dcsrdt","LES","LES",0,0,"r_netwgt_mu",1,"","",1,"dcs_rdt"
"new_asset_typ","dcsrdt","CHANGE_INV_NONSERASSET","LES",0,0,"r_asset_typ_non_ser",1,"","",1,"dcs_rdt"
"new_asset_typ","LES","LES","LES",0,0,"l_asset_typ_inv",1,"new_asset_typ=asset_typ","",0,"dcs_data"
"new_lot_fmt_id","LES","LES","LES",0,0,"l_lot_fmt_id",1,"new_lot_fmt_id=lot_fmt_id","",0,"dcs_data"
"new_ser_num_typ_id","LES","LES","LES",0,0,"l_ser_num_typ_id",1,"new_ser_num_typ_id=ser_num_typ_id","",0,"dcs_data"
"newsts","dcsrdt","LES","LES",0,0,"r_invsts_newsts",1,"","",1,"dcs_rdt"
"nottyp","LES","LES","LES",0,0,"l_nottyp",1,"nottyp","",1,"dcs_data"
"nstcls","LES","LES","LES",0,0,"l_nstcls",1,"nstcls=codval","",1,"sal_data"
"o_break_on","LES","pcklstcfgmnt","LES",0,0,"l_ord_break_on",1,"o_break_on=ord_brk_tbl","",0,"dcs_data"
"o_break_on","LES","pcklstcfgmntoverride","LES",0,0,"l_ord_break_on",1,"o_break_on=ord_brk_tbl","",0,"dcs_data"
"o_pick_ord_by","LES","pcklstcfgmnt","LES",0,0,"l_ord_break_on",1,"o_pick_ord_by=ord_brk_tbl","",0,"dcs_data"
"o_pick_ord_by","LES","pcklstcfgmntoverride","LES",0,0,"l_ord_break_on",1,"o_pick_ord_by=ord_brk_tbl","",0,"dcs_data"
"opt_nam","AthMnt","AthFrm","LES",0,0,"l_opt_nam",1,"opt_nam","",1,"sal_data"
"opt_nam","LES","LES","LES",0,0,"l_opt_nam",1,"","",1,"dcs_data"
"opt_nam","mcsmnuitm","LES","LES",1,0,"l_opt_nam",1,"opt_nam","",1,"mcs_data"
"opt_nam","RPWEB","rp|menu_mnt_mod_menu","LES",0,0,"l_optnam",1,"opt_nam","",1,"sal_data"
"opt_nam_perm","LES","LES","LES",0,0,"l_opt_nam_perm",1,"opt_nam","",0,"mcs_data"
"ordnum","LES","distromnt","LES",0,0,"l_distro_ordnum",1,"ordnum,ordlin,ordsln,wave_flg,prtnum,prt_client_id,invsts_prg,untqty=ordqty,lotnum,revlvl,orgcod,ordtyp","ordnum,client_id,prtnum",1,"dcs_data"
"ordnum","LES","LES","LES",0,0,"l_ordnum",1,"","ordnum,client_id,wh_id",1,"dcs_data"
"ordnum","LES","ordcopy","LES",0,0,"NONE",0,"","",1,"dcs_data"
"ordnum","LES","ordmnt","LES",0,0,"NONE",0,"","",1,"dcs_data"
"ordnum","LES","shrtallocrsndsp","LES",0,0,"l_ordnum_short",1,"","ordnum,wh_id",1,"dcs_data"
"ordnum","RPWEB","WMDMSLOADLPN","LES",0,0,"NONE",1,"","",1,"dcs_data"
"ordnum","RPWEB","WMDMSSUMMARY","LES",0,0,"l_wmdsup_ordnum",1,"","",1,"dcs_data"
"ordnum","RPWEB","WMDMSUPDATESHIPINFO","LES",0,0,"NONE",1,"","",1,"dcs_data"
"orgcod","dcsrdt","LES","LES",0,0,"r_orgcod",1,"","",1,"dcs_rdt"
"orgcod","dcsrdt","PICKUP_B","LES",0,0,"r_orgcod_pck",1,"","",1,"dcs_rdt"
"orgcod","LES","invstschgopr","LES",0,0,"l_orgcod",1,"orgcod=codval","codval=orgcod",0,"dcs_data"
"orgcod","LES","LES","LES",0,0,"l_orgcod",1,"orgcod=codval","codval=orgcod",1,"dcs_data"
"orgcod_idn","retprcopr","retitem","LES",0,0,"l_orgcod",1,"orgcod_idn=codval","codval=orgcod_idn",0,"dcs_data"
"orientation","dcsrdt","OVERRIDE_PAL","LES",0,0,"r_pallet_orientation",1,"","",1,"dcs_rdt"
"orig_carcod","LES","LES","LES",0,0,"l_orig_carcod",1,"orig_carcod=carcod","cargrp,carnam",1,"dcs_data"
"ovr_loc_cod","dcsrdt","LES","LES",0,0,"r_ovr_loc_cod",1,"","",1,"dcs_rdt"
"ovrrdcod","dcsrdt","LES","LES",0,0,"r_ovrrdcod",1,"","",1,"dcs_rdt"
"own_table","LES","LES","LES",1,0,"l_user_tables",1,"own_table=table_name","",1,"mcs_data"
"pad_char","dtlayoutmnt","LES","SEAMLES",0,0,"l_escape_codes",1,"","",0,"int_data"
"pakhgt_mu","dcsrdt","LES","LES",0,0,"r_pakhgt_mu",1,"","",1,"dcs_rdt"
"paklen_mu","dcsrdt","LES","LES",0,0,"r_paklen_mu",1,"","",1,"dcs_rdt"
"pakwid_mu","dcsrdt","LES","LES",0,0,"r_pakwid_mu",1,"","",1,"dcs_rdt"
"pal_slot","dcsrdt","LES","LES",0,0,"r_used_pal_slot",1,"pal_slot=","",1,"dcs_rdt"
"pal_stoloc","LES","LES","LES",0,0,"l_pal_stoloc",1,"pal_stoloc=stoloc","stoloc=pal_stoloc",1,"dcs_data"
"pallbldev","LES","LES","LES",0,0,"l_devcod_printers",1,"caslbldev=devcod","devcod=caslbldev",1,"dcs_data"
"pallbldev","LES","WMD-AUTLINMNT","LES",0,0,"l_devcod_print_rcv",1,"caslbldev=devcod","devcod=caslbldev",1,"dcs_data"
"palpos","dcsrdt","PALBLD","LES",0,0,"r_pltbld_pos",1,"","",1,"dcs_rdt"
"par_asset_id","LES","assetidentify","LES",0,0,"l_par_asset_id",1,"par_asset_id","asset_typ,stoloc=trknum",1,"dcs_data"
"par_asset_id","LES","LES","LES",0,0,"l_par_asset_id",1,"par_asset_id","asset_typ,stoloc",1,"dcs_data"
"par_role_id","LES","LES","LES",0,0,"l_par_role_id",1,"par_role_id","",1,"mcs_data"
"parm_id","LES","LES","LES",0,0,"l_parm_id",1,"parm_id = column_name","",1,"dcs_data"
"pcfkey","LES","pcfmstmnt","LES",0,0,"l_prtnum",1,"pcfkey=prtnum,client_id=prt_client_id","prtnum=pcfkey, prt_client_id=client_id",1,"dcs_data"
"pcklst_rule_grp_name","LES","pckcanopr","LES",0,0,"l_pcklst_rule_grp",1,"","",1,"dcs_data"
"pcklst_rule_grp_name","LES","pcklstdsp","LES",0,0,"l_pcklst_rule_grp",1,"","",1,"dcs_data"
"pcklst_rule_grp_name","LES","pcklstopr","LES",0,0,"l_pcklst_rule_grp",1,"","",1,"dcs_data"
"pcklst_rule_name","LES","pckcanopr","LES",0,0,"l_pcklst_rule",1,"","",1,"dcs_data"
"pcklst_rule_name","LES","pcklstdsp","LES",0,0,"l_pcklst_rule",1,"","",1,"dcs_data"
"pcklst_rule_name","LES","pcklstopr","LES",0,0,"l_pcklst_rule",1,"","",1,"dcs_data"
"pick_ord_by","LES","pcklstrulsetmnt","LES",0,0,"l_break_on",1,"pick_ord_by=brk_tbl","",0,"dcs_data"
"pmsn_id","LES","LES","LES",1,0,"l_pmsn_id",1,"","",1,"mcs_data"
"po_num","rcvinvmnt","rcvinvmnt","LES",0,0,"l_po_num",1,"invnum,po_num,trknum,supnum,client_id,wh_id","",1,"dcs_data"
"po_num","rcvtrkopr","rcvtrkopr","LES",0,0,"l_po_num",1,"invnum,po_num,trknum,supnum,client_id,wh_id","",1,"dcs_data"
"pol_mu","LES","LES","LES",0,0,"l_policy_mu",1,"pol_mu=mu","",0,"mcs_data"
"polcod","LES","PolInfMnt","LES",1,0,"l_policy_dyn",1,"","",1,"mcs_data"
"polval","LES","PolInfMnt","LES",1,0,"l_policy_dyn",1,"","",1,"mcs_data"
"polvar","LES","PolInfMnt","LES",1,0,"l_policy_dyn",1,"","",1,"mcs_data"
"pool_adr_id","LES","LES","LES",1,0,"l_pool_adr_id",1,"","",1,"mcs_data"
"post_cnfrm_val_cmd","LES","LES","LES",0,0,"l_cmdtxt",1,"post_cnfrm_val_cmd=cmdtxt","",1,"dcs_data"
"post_fld_delim_char","dtlayoutmnt","LES","SEAMLES",0,0,"l_escape_codes",1,"","",0,"int_data"
"post_fld_delim_dt","dtlayoutmnt","LES","SEAMLES",0,0,"l_escape_codes",1,"","",0,"int_data"
"post_fld_delim_num","dtlayoutmnt","LES","SEAMLES",0,0,"l_escape_codes",1,"","",0,"int_data"
"prcloc","dcsrdt","RETURN_TO_STOCK","LES",0,0,"l_ret_stk_prcloc",1,"prcloc","wh_id",1,"dcs_rdt"
"prdlin","dcsrdt","START_STOP_WKO","LES",0,0,"r_srtstpwko_prdlin",1,"prdlin","",1,"dcs_rdt"
"prdlin","dcsrdt","UNDIR_ASSEMBLY","LES",0,0,"r_start_prdlin",1,"prdlin","",1,"dcs_rdt"
"pre_fld_delim_char","dtlayoutmnt","LES","SEAMLES",0,0,"l_escape_codes",1,"","",0,"int_data"
"pre_fld_delim_dt","dtlayoutmnt","LES","SEAMLES",0,0,"l_escape_codes",1,"","",0,"int_data"
"pre_fld_delim_num","dtlayoutmnt","LES","SEAMLES",0,0,"l_escape_codes",1,"","",0,"int_data"
"prf_cmd","LES","LES","LES",0,0,"l_prf_cmd",1,"prf_cmd=cmdtxt","",1,"mcs_data"
"ProcessingDestination_Arecod","LES","LES","LES",0,0,"l_arecod",1,"ProcessingDestination_Arecod=arecod","",1,"dcs_data"
"prod_id","LES","LES","LES",1,0,"l_prod_id",1,"","",1,"mcs_data"
"provider_adr_id","LES","carinsmnt","LES",0,0,"l_adrnam_ins",1,"provider_adr_id=adr_id","",1,"dcs_data"
"prt_client_id","dcsrdt","CYCLE_COUNT","LES",0,0,"r_prtclientid_cyccnt",1,"","",1,"dcs_rdt"
"prt_client_id","dcsrdt","IDENTIFY_LOAD","LES",0,0,"r_prtnum_idn_lod",1,"","",1,"dcs_rdt"
"prt_client_id","dcsrdt","INV_ADJUST","LES",0,0,"r_prtclientid_invadj",1,"","",1,"dcs_rdt"
"prt_client_id","dcsrdt","TOPOFF_REPLEN","LES",0,0,"r_prtclientid_topoff",1,"","",1,"dcs_rdt"
"prtcolor","LES","invstschgopr","LES",0,0,"l_prtcolor",1,"prtcolor=codval","",0,"dcs_data"
"prtcolor","LES","LES","LES",0,0,"l_prtcolor",1,"prtcolor=attr_codnam","",1,"sal_data"
"prtfam","LES","LES","LES",0,0,"l_prtfam",1,"prtfam","",1,"sal_data"
"prtfam","LES","WMD-PRTFAM-MNT","LES",0,0,"NONE",0,"","",1,"sal_data"
"prtfamgrp","ddamgtopr","WMD-PRTFAMGRPMNT","LES",0,0,"l_prtfamgrp",0,"prtfamgrp","prtfamgrp",1,"sal_data"
"prtfamgrp","LES","LES","LES",0,0,"l_prtfamgrp",1,"prtfamgrp","prtfamgrp",1,"sal_data"
"prtfamgrp","prtfamgrpmnt","prtfamgrpmnt","LES",0,0,"l_prtfamgrp",0,"prtfamgrp","prtfamgrp",1,"sal_data"
"prtfit","LES","invstschgopr","LES",0,0,"l_prtfit",1,"prtfit=codval","",0,"dcs_data"
"prtfit","LES","LES","LES",0,0,"l_prtfit",1,"prtfit=attr_codnam","",1,"sal_data"
"prtnum","dcsrdt","IDENTIFY_LOAD","LES",0,0,"r_prtnum_idn_lod",1,"","",1,"dcs_rdt"
"prtnum","dcsrdt","PALBLD","LES",0,0,"r_pltbld_parts",1,"","",1,"dcs_rdt"
"prtnum","dcsrdt","TOPOFF_REPLEN","LES",0,0,"r_prtnum_topoff",1,"","",1,"dcs_rdt"
"prtnum","dcsrdt","UNDIR_CASE_TRANSFER","LES",0,0,"r_prtnum_case_trans",1,"","",1,"dcs_rdt"
"prtnum","dcsrdt","UNDIR_INBOUND_QUALITY","LES",0,0,"r_prtnum_inbound_qlt",1,"","",1,"dcs_rdt"
"prtnum","dcsrdt","UNDIR_TRANSFER","LES",0,0,"r_prtnum_load_trans",1,"","",1,"dcs_rdt"
"prtnum","LES","clswkodtl","LES",0,0,"l_prtnum_nonserial",1,"prtnum,prt_client_id","prtnum,prt_client_id",1,"dcs_data"
"prtnum","LES","inbqltmnt","LES",0,0,"l_prtnum_rcvinv",1,"prtnum,client_id,trknum,invnum","",1,"dcs_data"
"prtnum","LES","invdspmw","LES",0,0,"l_prtnum_invdspmw",1,"prtnum,prt_client_id,","prtnum,prt_client_id,wh_id",1,"dcs_data"
"prtnum","LES","invmovProc","LES",0,0,"NONE",0,"","",1,"dcs_data"
"prtnum","LES","invstschgopr","LES",0,0,"l_prtnum",1,"prtnum,prt_client_id","prtnum,prt_client_id,wh_id",0,"dcs_data"
"prtnum","LES","LES","LES",0,0,"l_prtnum",1,"prtnum,prt_client_id","prtnum,prt_client_id,wh_id",1,"dcs_data"
"prtnum","LES","ordlinmnt","LES",0,0,"l_prtnum",1,"prtnum,prt_client_id","prtnum,prt_client_id,wh_id",1,"dcs_data"
"prtnum","LES","prtcopy","LES",0,0,"NONE",0,"","",1,"sal_data"
"prtnum","LES","prtmstmnt","LES",0,0,"NONE",0,"","",1,"sal_data"
"prtnum","LES","prtmstovrdmnt","LES",0,0,"NONE",0,"","",1,"sal_data"
"prtnum","LES","rcvdtlmnt","LES",0,0,"l_prtnum_rcvdtlmnt",1,"prtnum,prt_client_id","prtnum,prt_client_id,wh_id",1,"dcs_data"
"prtnum","LES","rimlinmnt","LES",0,0,"l_prtnum",1,"prtnum,prt_client_id,lngdsc","prtnum,prt_client_id,wh_id",1,"dcs_data"
"prtnum","LES","wkomnt","LES",0,0,"l_prtnum",1,"prtnum","prtnum",1,"dcs_data"
"prtnum","LES","wkomnt","LES",0,0,"l_prtnum_bomhdr",1,"prtnum,prt_client_id,bomnum","prtnum,prt_client_id,bomnum",1,"dcs_data"
